_id,BD_DT_DATE,BD_SYMBOL,BD_SCRIP_NAME,BD_CLIENT_NAME,BD_BUY_SELL,BD_QTY_TRD,BD_TP_WATP,BD_REMARKS,TIMESTAMP,createdAt,updatedAt,__v,mTIMESTAMP
669124249f989258cd241ce5,12-JUL-2024,HPL,HPL Electric & Power Ltd,QE SECURITIES LLP,BUY,402967,640.48,-,2024-07-11T18:30:00.000Z,2024-07-12T12:40:04.287Z,2024-07-12T12:40:04.287Z,0,12-Jul-2024
669124249f989258cd241d27,12-JUL-2024,HPL,HPL Electric & Power Ltd,QE SECURITIES LLP,SELL,406565,641.95,-,2024-07-11T18:30:00.000Z,2024-07-12T12:40:04.288Z,2024-07-12T12:40:04.288Z,0,12-Jul-2024
669124249f989258cd241d2b,12-JUL-2024,IFCI,IFCI Ltd.,GRAVITON RESEARCH CAPITAL LLP,SELL,15354042,68.72,-,2024-07-11T18:30:00.000Z,2024-07-12T12:40:04.288Z,2024-07-12T12:40:04.288Z,0,12-Jul-2024
669124249f989258cd241ce6,12-JUL-2024,IFCI,IFCI Ltd.,GRAVITON RESEARCH CAPITAL LLP,BUY,15354042,68.68,-,2024-07-11T18:30:00.000Z,2024-07-12T12:40:04.287Z,2024-07-12T12:40:04.287Z,0,12-Jul-2024
669124249f989258cd241d2a,12-JUL-2024,IFCI,IFCI Ltd.,HRTI PRIVATE LIMITED,SELL,14409788,68.62,-,2024-07-11T18:30:00.000Z,2024-07-12T12:40:04.288Z,2024-07-12T12:40:04.288Z,0,12-Jul-2024
669124249f989258cd241ce7,12-JUL-2024,IFCI,IFCI Ltd.,HRTI PRIVATE LIMITED,BUY,13352332,68.71,-,2024-07-11T18:30:00.000Z,2024-07-12T12:40:04.287Z,2024-07-12T12:40:04.287Z,0,12-Jul-2024
669124249f989258cd241ce8,12-JUL-2024,IRCON,Ircon International Ltd,GRAVITON RESEARCH CAPITAL LLP,BUY,6610194,339.05,-,2024-07-11T18:30:00.000Z,2024-07-12T12:40:04.287Z,2024-07-12T12:40:04.287Z,0,12-Jul-2024
669124249f989258cd241d2c,12-JUL-2024,IRCON,Ircon International Ltd,GRAVITON RESEARCH CAPITAL LLP,SELL,6610194,339.16,-,2024-07-11T18:30:00.000Z,2024-07-12T12:40:04.288Z,2024-07-12T12:40:04.288Z,0,12-Jul-2024
669124249f989258cd241d2d,12-JUL-2024,IREDA,Indian Renewable Energy,GRAVITON RESEARCH CAPITAL LLP,SELL,16105661,294.09,-,2024-07-11T18:30:00.000Z,2024-07-12T12:40:04.289Z,2024-07-12T12:40:04.289Z,0,12-Jul-2024
669124249f989258cd241ce9,12-JUL-2024,IREDA,Indian Renewable Energy,GRAVITON RESEARCH CAPITAL LLP,BUY,16105661,293.97,-,2024-07-11T18:30:00.000Z,2024-07-12T12:40:04.287Z,2024-07-12T12:40:04.287Z,0,12-Jul-2024
669124249f989258cd241d2e,12-JUL-2024,ISHAN,Ishan International Ltd,JAVEDBEG BABUBEG MIRZA,SELL,3456000,2.05,-,2024-07-11T18:30:00.000Z,2024-07-12T12:40:04.289Z,2024-07-12T12:40:04.289Z,0,12-Jul-2024
669124249f989258cd241cea,12-JUL-2024,ISHAN,Ishan International Ltd,MAHADEV MANUBHAI MAKVANA,BUY,2784000,2.05,-,2024-07-11T18:30:00.000Z,2024-07-12T12:40:04.287Z,2024-07-12T12:40:04.287Z,0,12-Jul-2024
669124249f989258cd241d2f,12-JUL-2024,ISHAN,Ishan International Ltd,MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED,SELL,1584000,2.05,-,2024-07-11T18:30:00.000Z,2024-07-12T12:40:04.289Z,2024-07-12T12:40:04.289Z,0,12-Jul-2024
669124249f989258cd241d30,12-JUL-2024,JALAN,Jalan Transolu. India Ltd,MANISH JALAN,SELL,204000,3.47,-,2024-07-11T18:30:00.000Z,2024-07-12T12:40:04.289Z,2024-07-12T12:40:04.289Z,0,12-Jul-2024
669124249f989258cd241d35,12-JUL-2024,KAMOPAINTS,Kamdhenu Ventures Limited,HEMALI PATHIK THAKKAR,SELL,3878115,39.89,-,2024-07-11T18:30:00.000Z,2024-07-12T12:40:04.289Z,2024-07-12T12:40:04.289Z,0,12-Jul-2024
669124249f989258cd241ceb,12-JUL-2024,KAMOPAINTS,Kamdhenu Ventures Limited,HEMALI PATHIK THAKKAR,BUY,3878115,39.88,-,2024-07-11T18:30:00.000Z,2024-07-12T12:40:04.287Z,2024-07-12T12:40:04.287Z,0,12-Jul-2024
669124249f989258cd241d33,12-JUL-2024,KAMOPAINTS,Kamdhenu Ventures Limited,HJS SECURITIES PRIVATE LIMITED,SELL,3678297,40.37,-,2024-07-11T18:30:00.000Z,2024-07-12T12:40:04.289Z,2024-07-12T12:40:04.289Z,0,12-Jul-2024
669124249f989258cd241cef,12-JUL-2024,KAMOPAINTS,Kamdhenu Ventures Limited,HJS SECURITIES PRIVATE LIMITED,BUY,3678297,40.14,-,2024-07-11T18:30:00.000Z,2024-07-12T12:40:04.287Z,2024-07-12T12:40:04.287Z,0,12-Jul-2024
669124249f989258cd241ced,12-JUL-2024,KAMOPAINTS,Kamdhenu Ventures Limited,SKSE SECURITIES LTD,BUY,1858986,40.34,-,2024-07-11T18:30:00.000Z,2024-07-12T12:40:04.287Z,2024-07-12T12:40:04.287Z,0,12-Jul-2024
669124249f989258cd241d34,12-JUL-2024,KAMOPAINTS,Kamdhenu Ventures Limited,SKSE SECURITIES LTD,SELL,1858986,40.4,-,2024-07-11T18:30:00.000Z,2024-07-12T12:40:04.289Z,2024-07-12T12:40:04.289Z,0,12-Jul-2024
669124249f989258cd241cee,12-JUL-2024,KAMOPAINTS,Kamdhenu Ventures Limited,SW CAPITAL PRIVATE LIMITED,BUY,1664424,39.13,-,2024-07-11T18:30:00.000Z,2024-07-12T12:40:04.287Z,2024-07-12T12:40:04.287Z,0,12-Jul-2024
